,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
658,1148,Pizza Xpress,"Pizza, Fast Food",500," Uttam Nagar, New Delhi",4.1,348,https://www.zomato.com/ncr/pizza-xpress-uttam-nagar-new-delhi,"Spicy Chicken Roll, Chicken Tikka Sandwich, Red Pasta, Cheese Burger, Kit Kat Shake, Wraps","Cute Ambience, Unlimited Refills, Proper Packaging, Economical, Great Packaging, Amazing Restaurant"
659,1149,2 Dollar Cafe,"Chinese, North Indian, Salad, Sandwich, Burger, Rolls, Beverages",400," Gaur City 2, Greater Noida",4.1,236,https://www.zomato.com/ncr/2-dollar-cafe-gaur-city-2-greater-noida,"Exotic Fruit Salad, Healthy Breakfast, Juices, Smoothies, Salads, Drink","Games, Amazing Ambience, Vibe, Nice Ambience, Concept, Perfect Place"
660,1151,Vintage Kitchen,"Continental, Beverages, Italian, Desserts",850," DLF Phase 1, Gurgaon",4.1,135,https://www.zomato.com/ncr/vintage-kitchen-dlf-phase-1,"Mutton Choppan Kebab, Sheer Yakh, Qabuli Uzbeki, Kabuli Pulao, Green Tea, Phirni","Casual Seating Area, Great Ambiance, Low Price, Great Recommendations, Prompt Service, Preparation"
661,1152,Afghan Darbar Restaurant,"Afghan, Kebab, Beverages",600," Lajpat Nagar 2, New Delhi",4.1,455,https://www.zomato.com/ncr/afghan-darbar-restaurant-lajpat-nagar-2-new-delhi,"Shaami Kebab, Haleem, Changezi Chicken, Murgh Malai Tikka, Paneer Makhani, Mughlai Food","Economical, Authenticity, Good Crowd, Delicious Taste, Great Recommendations, Favorite Place"
662,1153,Alrumi Food Company,"North Indian, Mughlai, Rolls",600," DLF Phase 4, Gurgaon",4.1,237,https://www.zomato.com/ncr/alrumi-food-company-dlf-phase-4,"Mutton Kalimirch, Matka Murgh, Matka Chicken, Mutton Handi, Panneer Butter Masala, Garlic Naan","Economical, Great Recommendations, Combos, Perfect Presentation, Best Quality, Proper Packaging"
663,1154,M2 Meat Murga,"North Indian, Mughlai, Chinese",600," Sector 71, Noida",4.1,231,https://www.zomato.com/ncr/m2-meat-murga-sector-71-noida,"Arrabbiata Pasta, Stuffed Chicken Breast, Stroganoff, Peri Fries, Salads, Soup","Comfortable Seating, Amazing Service, Awesome Place, Best Food, Friendly Staff, Excellent Service"
664,1156,Mini Sweets House,"Mithai, Street Food, South Indian, Chinese, Fast Food",300," Sector 22, Faridabad",4.1,491,https://www.zomato.com/ncr/mini-sweets-house-sector-22-faridabad,"Chocolate Truffle Cake, Pastries, Brownies, Cakes, Sandwiches, Snacks","Amazing Place, Reasonable Price, Perfect Place, Great Taste, Nice Place, Experience"
665,1157,Baker's Stop,"Bakery, Fast Food",250," Gujranwala Town, New Delhi",4.1,337,https://www.zomato.com/ncr/bakers-stop-gujranwala-town-new-delhi,"Makhani Pasta, Cocktail, Mojito, Brownie, Drinks, Starters","Balcony Seating, Nice Music, Live Music, Dj, Vibe, Decent Place"
666,1158,HUDBA,"Continental, Chinese, North Indian, Italian, Beverages",1700," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.1,513,https://www.zomato.com/ncr/hudba-greater-kailash-gk-1-new-delhi,"Afghan Chicken, Daal Makhni, Gulab Jamun, Dal, Paneer Butter Masala, Butter Naan","Good Options, Good Value, Waiter, Atmosphere, Seating, Location"
667,1159,Moti Mahal Delux Tandoori Trail,"North Indian, Mughlai, Chinese, Kebab, Biryani",1100," Sector 110, Noida",4.1,213,https://www.zomato.com/ncr/moti-mahal-delux-tandoori-trail-sector-110-noida,"Aloo Gobhi Parantha, Jugalbandi, Soya Chaap Wrap, Aloo Bedmi, Spicy Paneer, Chole Rice","Awesome Services, Peaceful Environment, Peaceful Ambience, Good Customer Service, Great Price, Cool Place"
